Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Moisture,pH_Value,Rainfall,Crop,Soil_Type,Variety,Fertilizer
80.00,50.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,SSP
60.00,55.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,SSP
65.00,55.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,SSP
70.00,55.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,SSP
75.00,55.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,SSP
80.00,55.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,SSP
60.00,60.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,SSP
65.00,60.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,SSP
70.00,60.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,SSP
75.00,60.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,SSP
80.00,60.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,SSP
60.00,40.00,55.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
65.00,40.00,55.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
70.00,40.00,55.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
75.00,40.00,55.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
80.00,40.00,55.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
60.00,45.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,10:26:26 NPK
65.00,45.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,10:26:26 NPK
70.00,45.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,10:26:26 NPK
75.00,45.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,10:26:26 NPK
80.00,45.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,10:26:26 NPK
60.00,50.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,10:26:26 NPK
65.00,50.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,10:26:26 NPK
70.00,50.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,10:26:26 NPK
75.00,50.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,10:26:26 NPK
80.00,50.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,10:26:26 NPK
60.00,55.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,10:26:26 NPK
65.00,55.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,10:26:26 NPK
70.00,55.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,10:26:26 NPK
75.00,55.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,10:26:26 NPK
80.00,55.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,10:26:26 NPK
60.00,60.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
65.00,60.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
70.00,60.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
75.00,60.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
80.00,60.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,10:26:26 NPK
60.00,40.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
65.00,40.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
70.00,40.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
75.00,40.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
80.00,40.00,60.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
60.00,45.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,Urea
65.00,45.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,Urea
70.00,45.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,Urea
75.00,45.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,Urea
80.00,45.00,40.00,30.00,N/A,N/A,6.50,900.00,Jowar,Red,N/A,Urea
60.00,50.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,Urea
65.00,50.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,Urea
70.00,50.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,Urea
75.00,50.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,Urea
80.00,50.00,45.00,25.00,N/A,N/A,7.00,800.00,Jowar,Red,N/A,Urea
60.00,55.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,Urea
65.00,55.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,Urea
70.00,55.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,Urea
75.00,55.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,Urea
80.00,55.00,50.00,30.00,N/A,N/A,7.50,900.00,Jowar,Red,N/A,Urea
60.00,60.00,45.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
65.00,60.00,45.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
70.00,60.00,45.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
75.00,60.00,45.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
80.00,60.00,45.00,25.00,N/A,N/A,6.00,800.00,Jowar,Red,N/A,Urea
50.00,30.00,30.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,10:26:26 NPK
55.00,30.00,30.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,10:26:26 NPK
60.00,30.00,30.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,10:26:26 NPK
65.00,30.00,30.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,10:26:26 NPK
70.00,30.00,30.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,10:26:26 NPK
50.00,35.00,35.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,10:26:26 NPK
55.00,35.00,35.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,10:26:26 NPK
60.00,35.00,35.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,10:26:26 NPK
65.00,35.00,35.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,10:26:26 NPK
70.00,35.00,35.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,10:26:26 NPK
50.00,40.00,40.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,10:26:26 NPK
55.00,40.00,40.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,10:26:26 NPK
60.00,40.00,40.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,10:26:26 NPK
65.00,40.00,40.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,10:26:26 NPK
70.00,40.00,40.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,10:26:26 NPK
50.00,30.00,35.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,Urea
55.00,30.00,35.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,Urea
60.00,30.00,35.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,Urea
65.00,30.00,35.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,Urea
70.00,30.00,35.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,Urea
50.00,35.00,40.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,Urea
55.00,35.00,40.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,Urea
60.00,35.00,40.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,Urea
65.00,35.00,40.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,Urea
70.00,35.00,40.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,Urea
50.00,40.00,30.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,Urea
55.00,40.00,30.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,Urea
60.00,40.00,30.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,Urea
65.00,40.00,30.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,Urea
70.00,40.00,30.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,Urea
50.00,30.00,40.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,SSP
55.00,30.00,40.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,SSP
60.00,30.00,40.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,SSP
65.00,30.00,40.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,SSP
70.00,30.00,40.00,25.00,N/A,N/A,6.00,700.00,Jowar,Black,N/A,SSP
50.00,35.00,30.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,SSP
55.00,35.00,30.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,SSP
60.00,35.00,30.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,SSP
65.00,35.00,30.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,SSP
70.00,35.00,30.00,30.00,N/A,N/A,6.50,800.00,Jowar,Black,N/A,SSP
50.00,40.00,35.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,SSP
55.00,40.00,35.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,SSP
60.00,40.00,35.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,SSP
65.00,40.00,35.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,SSP
70.00,40.00,35.00,35.00,N/A,N/A,7.00,900.00,Jowar,Black,N/A,SSP
21.88,89.27,38.83,16.77,51.19,N/A,8.27,295.19,Maize,Sandy,Sweet,N/A
33.71,42.91,71.63,12.61,68.97,N/A,5.64,183.16,Maize,Clay,Sweet,N/A
65.33,22.77,91.22,34.78,81.82,N/A,8.23,381.87,Maize,Saline,Flint,N/A
33.34,7.52,58.50,42.77,35.11,N/A,7.39,186.02,Maize,Peaty,Sweet,N/A
147.30,31.62,45.35,31.99,97.42,N/A,7.72,399.40,Maize,Peaty,Dent,N/A
98.46,16.76,77.34,35.62,99.65,N/A,5.22,281.02,Maize,Peaty,Dent,N/A
83.63,41.56,66.41,12.74,79.87,N/A,6.02,149.96,Maize,Peaty,Flint,N/A
18.90,9.16,84.28,29.70,62.99,N/A,5.47,124.47,Maize,Sandy,Flint,N/A
109.51,17.14,28.51,20.06,94.85,N/A,5.11,244.80,Maize,Loamy,Flint,N/A
130.83,13.27,61.09,35.13,49.49,N/A,7.73,59.42,Maize,Silt,Dent,N/A
8.16,27.24,91.77,27.00,33.34,N/A,6.43,312.65,Maize,Silt,Flint,N/A
24.27,74.86,37.81,43.62,42.54,N/A,7.07,272.20,Maize,Peaty,Dent,N/A
82.56,81.27,61.37,30.93,91.75,N/A,8.13,180.64,Maize,Sandy,Dent,N/A
16.43,15.51,93.03,17.98,39.82,N/A,6.85,57.74,Maize,Saline,Flint,N/A
68.31,79.00,83.61,21.47,33.38,N/A,8.02,81.36,Maize,Loamy,Sweet,N/A
103.39,61.83,70.02,37.00,80.60,N/A,6.89,48.89,Maize,Sandy,Sweet,N/A
119.02,59.26,21.54,29.65,46.92,N/A,8.39,249.01,Maize,Sandy,Dent,N/A
18.32,34.70,90.93,13.29,35.21,N/A,7.05,274.17,Maize,Saline,Sweet,N/A
147.41,56.27,89.84,21.08,62.87,N/A,6.22,294.16,Maize,Sandy,Sweet,N/A
105.95,60.40,51.27,11.47,53.06,N/A,6.62,313.80,Maize,Sandy,Dent,N/A
144.91,45.23,49.84,43.21,74.54,N/A,5.89,289.89,Maize,Peaty,Sweet,N/A
59.22,27.90,73.41,26.56,56.30,N/A,5.80,299.62,Maize,Peaty,Dent,N/A
71.94,28.39,10.21,13.72,44.90,N/A,7.67,372.21,Maize,Sandy,Sweet,N/A
11.52,73.06,96.43,25.89,33.73,N/A,7.80,243.32,Maize,Peaty,Flint,N/A
7.02,18.82,27.02,19.78,86.66,N/A,7.18,197.01,Maize,Sandy,Dent,N/A
54.05,15.39,83.27,34.86,33.61,N/A,5.12,153.39,Maize,Saline,Flint,N/A
34.18,64.08,80.44,14.92,61.91,N/A,5.98,185.50,Maize,Clay,Sweet,N/A
116.55,37.50,40.02,42.78,57.89,N/A,7.89,365.74,Maize,Saline,Dent,N/A
79.08,83.62,92.43,30.53,89.46,N/A,8.02,287.48,Maize,Sandy,Sweet,N/A
135.97,85.12,10.19,32.75,76.01,N/A,6.42,150.37,Maize,Silt,Flint,N/A
6.07,8.23,19.51,40.99,70.76,N/A,7.35,56.37,Maize,Silt,Sweet,N/A
7.17,37.30,61.27,43.98,89.45,N/A,5.31,290.09,Maize,Silt,Dent,N/A
102.59,74.15,40.08,22.96,99.30,N/A,4.92,240.28,Maize,Saline,Dent,N/A
86.54,88.52,52.42,32.38,31.17,N/A,4.86,262.09,Maize,Peaty,Sweet,N/A
133.37,63.64,88.55,20.24,92.03,N/A,7.20,312.54,Maize,Loamy,Dent,N/A
106.82,45.55,23.33,36.01,99.23,N/A,7.10,208.20,Maize,Clay,Flint,N/A
127.20,67.66,80.21,21.57,33.42,N/A,5.21,92.61,Maize,Peaty,Sweet,N/A
62.93,51.10,97.88,18.47,38.35,N/A,8.29,67.75,Maize,Clay,Dent,N/A
94.59,66.62,59.86,12.48,86.68,N/A,5.87,128.25,Maize,Peaty,Sweet,N/A
108.76,31.81,76.32,23.96,86.48,N/A,6.66,289.87,Maize,Clay,Sweet,N/A
121.88,78.07,37.38,14.43,87.39,N/A,6.81,128.08,Maize,Clay,Flint,N/A
34.67,75.18,37.95,37.43,90.82,N/A,5.58,194.63,Maize,Saline,Sweet,N/A
116.86,45.94,81.42,18.09,94.74,N/A,5.86,209.45,Maize,Silt,Dent,N/A
59.62,30.39,26.04,15.32,80.07,N/A,5.83,317.60,Maize,Sandy,Dent,N/A
131.12,20.39,25.40,17.25,95.39,N/A,7.82,386.93,Maize,Clay,Dent,N/A
109.01,47.22,53.07,25.07,85.96,N/A,7.25,203.27,Maize,Loamy,Flint,N/A
97.16,42.66,37.57,39.37,82.34,N/A,7.54,84.05,Maize,Silt,Sweet,N/A
99.50,31.44,41.19,16.87,63.57,N/A,5.93,281.74,Maize,Sandy,Dent,N/A
90.57,85.34,69.73,14.87,42.45,N/A,7.00,306.98,Maize,Clay,Flint,N/A
137.87,68.49,12.80,11.64,54.23,N/A,4.85,44.40,Maize,Loamy,Dent,N/A
109.82,50.39,82.72,40.97,90.46,N/A,7.37,38.84,Maize,Peaty,Flint,N/A
129.10,18.29,32.75,16.79,45.60,N/A,7.95,328.75,Maize,Silt,Sweet,N/A
113.72,65.90,46.42,12.63,91.66,N/A,5.20,82.58,Maize,Sandy,Sweet,N/A
7.60,58.44,20.90,33.97,33.07,N/A,7.50,49.48,Maize,Loamy,Dent,N/A
112.30,28.98,81.97,27.23,81.92,N/A,7.80,293.53,Maize,Silt,Sweet,N/A
118.97,65.68,49.60,13.17,31.33,N/A,6.25,228.98,Maize,Peaty,Sweet,N/A
88.76,23.99,42.56,14.95,83.73,N/A,5.49,217.53,Maize,Loamy,Dent,N/A
14.64,47.53,34.62,34.62,51.47,N/A,4.76,104.04,Maize,Peaty,Sweet,N/A
29.24,76.32,96.00,29.23,65.84,N/A,7.38,153.69,Maize,Loamy,Dent,N/A
43.96,7.32,43.78,18.33,39.06,N/A,4.66,166.30,Maize,Saline,Sweet,N/A
11.17,37.04,60.99,15.92,31.98,N/A,6.30,102.34,Maize,Peaty,Flint,N/A
74.93,24.34,65.53,20.68,71.53,N/A,4.60,155.31,Maize,Loamy,Dent,N/A
79.99,85.90,78.16,29.99,75.36,N/A,6.68,257.23,Maize,Silt,Flint,N/A
28.65,40.40,57.44,28.75,66.94,N/A,8.38,179.49,Maize,Clay,Sweet,N/A
5.96,30.03,99.24,18.38,78.82,N/A,7.70,314.19,Maize,Peaty,Sweet,N/A
130.70,14.54,98.65,24.01,58.93,N/A,5.95,360.15,Maize,Silt,Sweet,N/A
66.05,75.81,95.11,10.40,90.72,N/A,5.74,31.51,Maize,Loamy,Flint,N/A
62.43,68.51,49.61,29.60,67.83,N/A,8.00,82.98,Maize,Sandy,Sweet,N/A
109.71,81.28,52.47,36.48,40.72,N/A,5.69,135.65,Maize,Peaty,Dent,N/A
25.83,25.41,34.79,40.40,71.53,N/A,5.23,86.76,Maize,Peaty,Flint,N/A
106.72,55.80,73.28,10.70,38.94,N/A,5.78,329.30,Maize,Silt,Dent,N/A
46.89,83.86,71.83,23.84,88.93,N/A,4.60,112.77,Maize,Sandy,Sweet,N/A
106.80,14.67,21.87,15.05,79.77,N/A,6.72,189.47,Maize,Saline,Dent,N/A
29.98,65.75,82.06,43.29,81.17,N/A,6.08,96.87,Maize,Saline,Dent,N/A
10.82,43.93,46.57,12.72,46.34,N/A,8.16,184.52,Maize,Sandy,Flint,N/A
115.24,87.11,27.47,40.19,60.98,N/A,4.58,41.94,Maize,Clay,Sweet,N/A
27.59,61.40,17.02,26.14,52.72,N/A,5.31,140.49,Maize,Saline,Dent,N/A
94.02,48.56,81.35,33.46,42.61,N/A,7.50,318.34,Maize,Clay,Flint,N/A
106.59,65.10,77.56,12.68,75.61,N/A,5.33,126.50,Maize,Clay,Dent,N/A
138.44,21.47,70.67,21.82,46.64,N/A,5.46,344.29,Maize,Sandy,Flint,N/A
111.30,68.67,26.86,37.78,77.47,N/A,7.85,101.78,Maize,Loamy,Flint,N/A
113.86,35.76,27.65,14.45,61.49,N/A,6.81,207.83,Maize,Silt,Dent,N/A
100.76,48.32,34.65,33.36,74.56,N/A,7.76,269.60,Maize,Peaty,Dent,N/A
139.59,25.68,18.15,17.13,77.18,N/A,8.28,277.17,Maize,Saline,Sweet,N/A
129.78,13.29,65.32,40.21,84.87,N/A,7.79,133.23,Maize,Silt,Dent,N/A
27.19,35.24,95.65,12.22,45.51,N/A,4.77,377.02,Maize,Saline,Flint,N/A
64.22,15.35,61.96,37.53,80.90,N/A,4.84,229.78,Maize,Saline,Sweet,N/A
73.86,63.22,14.57,14.83,59.38,N/A,7.39,225.11,Maize,Saline,Sweet,N/A
138.12,22.23,98.76,10.82,55.48,N/A,5.59,137.59,Maize,Silt,Sweet,N/A
16.57,87.61,91.06,41.69,77.04,N/A,6.13,322.53,Maize,Loamy,Sweet,N/A
63.20,23.29,43.19,28.29,65.64,N/A,7.38,30.08,Maize,Sandy,Dent,N/A
37.81,48.72,62.18,39.63,99.69,N/A,7.30,183.54,Maize,Saline,Dent,N/A
38.70,24.20,32.82,28.34,96.37,N/A,6.61,385.88,Maize,Clay,Sweet,N/A
117.44,68.00,52.19,38.79,70.87,N/A,5.42,328.78,Maize,Peaty,Dent,N/A
19.65,42.39,94.78,25.43,63.89,N/A,8.27,360.49,Maize,Sandy,Sweet,N/A
147.90,22.54,34.36,32.51,50.65,N/A,8.15,156.19,Maize,Sandy,Flint,N/A
105.59,84.71,58.71,13.72,34.36,N/A,5.72,137.96,Maize,Loamy,Sweet,N/A
131.00,35.94,31.01,30.58,72.98,N/A,5.88,94.74,Maize,Silt,Flint,N/A
67.17,68.34,99.45,17.23,66.78,N/A,4.93,97.68,Maize,Silt,Flint,N/A
39.23,20.53,95.47,17.27,75.07,N/A,5.61,314.69,Maize,Saline,Sweet,N/A
121.19,43.12,67.20,18.42,87.32,N/A,6.68,75.22,Maize,Sandy,Flint,N/A
34.87,59.57,29.68,29.05,77.59,N/A,5.39,285.87,Maize,Silt,Sweet,N/A
143.43,32.10,49.88,10.24,71.49,N/A,4.89,388.41,Maize,Peaty,Dent,N/A
30.88,84.16,99.19,22.21,72.67,N/A,5.73,72.61,Maize,Clay,Flint,N/A
118.44,77.13,33.58,15.33,78.40,N/A,5.10,68.18,Maize,Clay,Dent,N/A
56.21,76.32,68.26,16.86,37.52,N/A,6.71,282.70,Maize,Peaty,Sweet,N/A
138.90,66.29,26.81,13.44,73.29,N/A,5.78,156.61,Maize,Sandy,Flint,N/A
41.74,69.94,92.81,36.18,39.53,N/A,7.18,177.72,Maize,Saline,Sweet,N/A
11.02,8.72,62.88,34.23,66.87,N/A,5.25,147.15,Maize,Peaty,Flint,N/A
21.93,24.10,89.95,12.73,64.85,N/A,4.68,215.63,Maize,Sandy,Dent,N/A
39.63,62.23,28.81,17.59,66.87,N/A,6.87,170.09,Maize,Silt,Sweet,N/A
97.36,57.28,42.78,29.37,93.49,N/A,4.58,276.20,Maize,Peaty,Flint,N/A
43.53,17.13,50.55,14.90,51.11,N/A,8.16,363.88,Maize,Saline,Flint,N/A
113.69,45.55,52.30,38.04,78.03,N/A,6.16,32.39,Maize,Sandy,Sweet,N/A
142.06,32.92,93.23,13.42,65.10,N/A,4.56,93.68,Maize,Sandy,Flint,N/A
109.20,69.93,89.74,14.77,95.95,N/A,7.28,187.19,Maize,Silt,Flint,N/A
60.53,87.63,40.19,29.31,80.86,N/A,5.34,224.08,Maize,Sandy,Dent,N/A
69.59,40.72,44.58,32.13,63.10,N/A,4.88,212.93,Maize,Loamy,Dent,N/A
142.11,32.17,85.63,14.92,74.75,N/A,7.57,207.07,Maize,Loamy,Flint,N/A
84.46,74.56,72.50,15.32,57.81,N/A,4.89,41.61,Maize,Sandy,Flint,N/A
70.77,42.98,41.28,31.12,36.39,N/A,8.44,180.06,Maize,Saline,Dent,N/A
62.25,68.98,20.17,38.97,46.71,N/A,4.76,132.71,Maize,Silt,Flint,N/A
17.47,49.27,64.08,28.59,43.88,N/A,7.48,119.22,Maize,Silt,Sweet,N/A
65.85,21.11,72.13,11.83,49.99,N/A,6.02,380.68,Maize,Clay,Flint,N/A
121.45,37.65,63.08,32.64,92.31,N/A,7.11,379.37,Maize,Clay,Dent,N/A
64.60,59.31,86.36,20.28,37.36,N/A,5.07,275.70,Maize,Silt,Sweet,N/A
133.86,29.09,70.99,37.21,53.62,N/A,8.29,338.59,Maize,Loamy,Dent,N/A
72.05,78.20,20.69,18.33,71.74,N/A,5.14,160.67,Maize,Clay,Dent,N/A
69.18,29.50,24.08,30.85,89.23,N/A,7.74,395.33,Maize,Peaty,Dent,N/A
40.38,73.79,79.61,26.14,88.29,N/A,8.33,209.98,Maize,Sandy,Sweet,N/A
90.13,12.49,94.92,28.33,64.59,N/A,4.77,194.96,Maize,Saline,Sweet,N/A
143.50,15.98,58.59,10.81,75.20,N/A,5.69,163.78,Maize,Clay,Flint,N/A
79.68,34.27,52.96,22.99,50.96,N/A,7.84,323.51,Maize,Sandy,Flint,N/A
73.13,53.93,18.07,44.65,76.58,N/A,4.61,76.15,Maize,Loamy,Sweet,N/A
61.61,34.23,88.88,32.82,35.58,N/A,6.33,356.05,Maize,Silt,Flint,N/A
47.67,7.70,70.28,24.04,99.36,N/A,7.38,370.34,Maize,Saline,Flint,N/A
140.58,63.43,17.62,22.79,38.20,N/A,5.93,155.05,Maize,Clay,Flint,N/A
25.00,12.35,69.75,43.72,70.92,N/A,8.18,269.19,Maize,Loamy,Dent,N/A
64.77,73.81,59.80,30.86,84.17,N/A,5.18,309.23,Maize,Clay,Dent,N/A
86.75,42.58,25.16,23.78,94.72,N/A,6.06,291.59,Maize,Saline,Sweet,N/A
77.22,40.97,46.57,35.46,74.23,N/A,5.18,296.02,Maize,Loamy,Dent,N/A
55.06,34.83,82.16,34.54,43.10,N/A,8.12,296.33,Maize,Saline,Flint,N/A
141.70,80.08,51.38,16.87,98.50,N/A,5.09,27.12,Maize,Clay,Flint,N/A
106.63,67.75,92.40,44.42,89.85,N/A,8.08,307.81,Maize,Silt,Flint,N/A
99.06,84.71,70.31,13.84,89.45,N/A,5.37,174.27,Maize,Sandy,Sweet,N/A
110.61,37.54,30.99,10.96,65.97,N/A,5.87,335.03,Maize,Saline,Flint,N/A
123.65,81.54,36.58,21.00,91.78,N/A,5.78,92.18,Maize,Sandy,Flint,N/A
84.03,11.12,93.75,28.27,65.66,N/A,4.53,128.90,Maize,Clay,Flint,N/A
117.89,88.91,89.49,31.64,71.19,N/A,4.64,73.31,Maize,Silt,Dent,N/A
134.62,46.68,88.39,41.51,51.52,N/A,6.71,39.67,Maize,Sandy,Dent,N/A
13.65,14.26,80.56,32.38,98.11,N/A,5.05,196.03,Maize,Silt,Flint,N/A
53.47,52.86,92.62,20.23,89.43,N/A,5.94,147.15,Maize,Loamy,Dent,N/A
29.88,35.40,60.61,19.85,97.83,N/A,4.87,48.50,Maize,Loamy,Dent,N/A
79.62,49.11,38.33,18.48,59.27,N/A,7.38,395.14,Maize,Saline,Sweet,N/A
23.17,41.45,69.90,30.32,67.46,N/A,8.20,40.77,Maize,Silt,Dent,N/A
49.20,56.54,26.94,16.36,79.60,N/A,6.34,246.96,Maize,Silt,Flint,N/A
86.12,67.91,91.42,36.69,55.76,N/A,6.87,164.59,Maize,Silt,Flint,N/A
125.89,9.59,11.56,43.61,49.82,N/A,6.63,149.21,Maize,Clay,Sweet,N/A
137.73,55.16,85.78,37.64,67.80,N/A,5.51,262.15,Maize,Sandy,Flint,N/A
24.22,82.80,98.41,24.46,58.48,N/A,7.06,62.56,Maize,Silt,Flint,N/A
87.15,47.27,33.61,36.04,92.73,N/A,5.12,164.67,Maize,Loamy,Flint,N/A
139.05,61.34,73.88,28.32,90.78,N/A,8.01,277.99,Maize,Sandy,Flint,N/A
20.25,66.08,80.06,25.44,41.34,N/A,5.67,95.00,Maize,Loamy,Dent,N/A
19.71,6.58,45.66,15.11,48.68,N/A,4.99,187.79,Maize,Sandy,Dent,N/A
113.06,51.29,65.48,30.91,87.43,N/A,7.67,196.56,Maize,Clay,Dent,N/A
100.17,79.35,16.83,21.79,91.28,N/A,7.53,49.58,Maize,Loamy,Flint,N/A
128.48,36.80,60.47,26.92,82.78,N/A,4.97,342.79,Maize,Silt,Sweet,N/A
101.21,32.25,71.69,42.97,61.40,N/A,8.24,200.51,Maize,Clay,Sweet,N/A
65.22,65.52,87.87,26.21,56.04,N/A,6.59,119.74,Maize,Silt,Sweet,N/A
42.10,30.75,14.71,37.65,50.68,N/A,5.70,277.63,Maize,Saline,Sweet,N/A
100.82,61.57,14.32,32.58,71.75,N/A,5.87,65.62,Maize,Sandy,Sweet,N/A
132.52,24.62,56.37,10.05,85.99,N/A,6.66,106.61,Maize,Sandy,Dent,N/A
25.01,43.41,74.21,19.72,90.26,N/A,5.04,358.61,Maize,Loamy,Dent,N/A
100.72,50.77,92.49,14.74,99.29,N/A,5.07,245.28,Maize,Silt,Flint,N/A
83.18,84.32,58.58,18.44,31.68,N/A,6.69,328.85,Maize,Clay,Dent,N/A
6.70,33.86,48.73,22.25,61.40,N/A,5.36,40.15,Maize,Loamy,Flint,N/A
